"","PID","Trial","Enc_or_Ret","CA1","CA3"
"36","20230530_SDT04",36,1,-0.321358185323292,1.36887834921546
"37","20230530_SDT04",37,1,-2.20035045019855,-1.43815738393732
"38","20230530_SDT04",38,1,-0.718979207417065,-0.521921196436459
"39","20230530_SDT04",39,1,0.848473681966257,0.656305082076909
"40","20230530_SDT04",40,1,-0.260515958510003,-0.0559540343386968
"41","20230530_SDT04",41,1,-0.787663578183709,-0.67910813990779
"42","20230530_SDT04",42,1,-0.334595444837515,-1.00135231636263
"43","20230530_SDT04",43,1,1.29750408492043,-0.483411148103449
"44","20230530_SDT04",44,1,1.18258922577728,-0.979610627476516
"45","20230530_SDT04",45,1,2.4379180551936,3.93737055861668
"46","20230530_SDT04",46,1,-0.875723503457633,0.31954674406296
"47","20230530_SDT04",47,1,-4.38323680005362,-2.27930800403921
"48","20230530_SDT04",48,1,-4.75916185203518,-2.0393678113751
"49","20230530_SDT04",49,1,-3.40954841470711,-1.49788989563481
"50","20230530_SDT04",50,1,-6.8152478538096,-5.23149940750335
"51","20230530_SDT04",51,1,-5.68253544883564,-2.11281004052374
"52","20230530_SDT04",52,1,-1.58085690672263,0.578524184899891
"53","20230530_SDT04",53,1,-3.1602622155603,-0.885705933327208
"54","20230530_SDT04",54,1,-1.01493460818666,-0.689631232958253
"55","20230530_SDT04",55,1,0.532367826558057,1.45538802964441
"56","20230530_SDT04",56,1,0.0425443500992155,0.0616932486902885
"57","20230530_SDT04",57,1,-0.621774852947193,-0.444970220945322
"58","20230530_SDT04",58,1,0.927850426929352,1.45847742002676
"59","20230530_SDT04",59,1,-1.25828166025293,-0.461982890225209
"60","20230530_SDT04",60,1,-2.34929724676489,-3.64929471041112
"61","20230530_SDT04",1,2,-0.949437119867315,-0.114353035466309
"62","20230530_SDT04",2,2,-1.70780378115728,-0.00124134729272342
"63","20230530_SDT04",3,2,-0.67943326123411,0.711902148443115
"64","20230530_SDT04",4,2,-0.637244315476624,0.383145076028063
"65","20230530_SDT04",5,2,0.388369628125314,1.58844311973919
"66","20230530_SDT04",6,2,-0.87772574971656,-0.35605322586641
"67","20230530_SDT04",7,2,0.0898988727931282,0.787519353104604
"68","20230530_SDT04",8,2,0.0960714327998214,0.217951128548766
"69","20230530_SDT04",9,2,0.254580522101116,-0.149583920351909
"70","20230530_SDT04",10,2,-0.327149012960012,-0.0640008190806183
"71","20230530_SDT04",11,2,-0.66130352727288,0.380900573352486
"72","20230530_SDT04",12,2,-0.89552366922622,0.359561999268024
"73","20230530_SDT04",13,2,-0.199059502250503,1.03459252029288
"74","20230530_SDT04",14,2,0.445185296987198,0.580330921869268
"75","20230530_SDT04",15,2,0.00662220997281936,0.176479839647571
"76","20230530_SDT04",16,2,0.374792548249358,0.620465507556114
"77","20230530_SDT04",17,2,-0.212462413560075,0.476507118215516
"78","20230530_SDT04",18,2,0.350580852308766,0.368886582008857
"79","20230530_SDT04",19,2,-0.0663853930801459,0.00310075533270064
"80","20230530_SDT04",20,2,0.226097659251353,0.00315269822850488
"81","20230530_SDT04",21,2,-0.59687219875391,-0.139769403565977
"82","20230530_SDT04",22,2,-0.108657331146657,0.188195942564991
"83","20230530_SDT04",23,2,0.172442938197339,0.627962839777942
"84","20230530_SDT04",24,2,-0.65324485747902,-0.459190670912351
"85","20230530_SDT04",25,2,-0.208218107475006,-0.702383667785204
"86","20230530_SDT04",26,2,0.103879107867757,-0.138957260330816
"87","20230530_SDT04",27,2,-0.339854923899585,0.312408403949896
"88","20230530_SDT04",28,2,0.1064967628497,0.755386344290985
